,revenue,fuel_surcharge,accessorial_charges,driver_id,actual_distance_miles,actual_duration_hours,idle_time_hours,total_revenue,dispatch_date_year
56754,3573.43,504.32,50,DRV00100,1627,30.2,9.0,3019.1099999999997,2024
56755,4760.86,708.51,100,DRV00094,2140,33.0,11.4,3952.3499999999995,2024
56756,6000.62,792.88,150,DRV00058,2346,41.2,7.2,5057.74,2024
56757,1304.85,189.0,0,DRV00003,728,12.1,9.1,1115.85,2024
56758,3185.68,255.36,75,DRV00078,1244,23.1,4.8,2855.3199999999997,2024
56759,1296.14,128.63,0,DRV00128,694,11.8,10.7,1167.5100000000002,2024
56760,1547.16,137.31,50,DRV00120,597,10.6,4.2,1359.8500000000001,2024
56761,2776.36,419.43,0,DRV00089,1342,22.5,11.6,2356.9300000000003,2024
56762,3722.94,537.81,150,DRV00149,2749,44.6,4.7,3035.13,2024
56763,2041.73,344.52,100,DRV00025,1111,20.0,2.6,1597.21,2024
56764,1243.25,185.6,50,DRV00124,660,10.7,9.1,1007.65,2024
56765,5607.01,708.51,100,DRV00061,2142,33.8,8.2,4798.5,2024
56766,163.08,15.64,50,DRV00141,99,1.6,2.5,97.44000000000001,2024
56767,4490.08,565.38,200,DRV00070,3262,63.5,10.2,3724.7,2024
56768,3477.65,295.83,0,DRV00148,1530,26.9,4.9,3181.82,2024
56769,5390.34,472.14,75,DRV00133,2808,51.2,7.4,4843.2,2024
56770,2290.98,276.3,0,DRV00032,931,14.8,3.5,2014.68,2024
56771,3668.42,564.72,0,DRV00066,2250,43.3,8.5,3103.7,2024
56772,5981.27,499.18,50,DRV00080,2448,45.3,11.1,5432.09,2024
56773,2510.22,276.3,50,DRV00016,960,15.8,7.3,2183.9199999999996,2024
56774,7984.2,814.37,75,DRV00065,2668,47.6,2.3,7094.83,2024
56775,2026.87,114.3,200,DRV00013,757,14.0,8.5,1712.57,2024
56776,5916.86,463.93,50,DRV00037,2687,51.7,7.6,5402.929999999999,2024
56777,6548.64,891.82,150,DRV00050,2629,44.0,6.6,5506.820000000001,2024
56778,3173.46,255.36,0,DRV00105,1282,24.6,5.8,2918.1,2024
56779,2843.37,376.0,0,DRV00113,1250,19.8,11.1,2467.37,2024
56780,3898.53,524.7,75,DRV00142,1840,33.9,5.9,3298.83,2024
56781,3615.88,537.81,50,DRV00085,2606,43.3,10.9,3028.07,2024
56782,3880.99,451.8,0,DRV00010,2220,38.3,4.6,3429.1899999999996,2024
56783,4861.92,309.24,150,DRV00119,1786,29.3,10.5,4402.68,2024
56784,2607.47,406.72,200,DRV00092,1287,23.2,3.7,2000.7499999999998,2024
56785,3308.44,357.25,0,DRV00127,1517,26.6,6.4,2951.19,2024
56786,3238.66,406.72,50,DRV00044,1327,20.6,10.9,2781.9399999999996,2024
56787,5952.46,708.51,100,DRV00148,2250,43.6,3.6,5143.95,2024
56788,3001.91,216.92,150,DRV00132,1261,21.6,2.4,2634.99,2024
56789,3559.3,460.0,200,DRV00049,1971,34.9,2.8,2899.3,2024
56790,1241.1,273.36,100,DRV00022,856,15.9,11.3,867.7399999999999,2024
56791,4954.91,708.51,0,DRV00120,2276,42.1,8.4,4246.4,2024
56792,1519.84,153.34,200,DRV00119,697,12.9,7.4,1166.5,2024
56793,3437.84,314.64,100,DRV00029,1351,22.9,4.0,3023.2000000000003,2024
56794,152.02,15.64,0,DRV00034,95,1.7,3.3,136.38,2024
56796,1433.84,170.88,75,DRV00045,703,11.3,10.7,1187.96,2024
56797,2067.1,344.52,200,DRV00060,1040,16.6,10.6,1522.58,2024
56798,3589.75,738.48,0,DRV00092,2174,41.4,4.8,2851.27,2024
56799,2300.42,344.12,0,DRV00016,1324,21.9,9.1,1956.3000000000002,2024
56800,3701.6,555.52,0,DRV00012,2119,41.5,8.7,3146.08,2024
56801,3725.17,255.36,75,DRV00102,1266,20.5,2.4,3394.81,2024
56802,2169.92,384.2,100,DRV00022,1192,18.9,7.4,1685.72,2024
56803,4402.23,580.87,200,DRV00099,2000,31.1,9.9,3621.3599999999997,2024
56804,5618.22,580.87,0,DRV00078,2092,38.9,9.8,5037.35,2024
56806,3587.68,295.83,0,DRV00125,1562,25.1,11.7,3291.85,2024
56807,1056.77,161.53,200,DRV00103,580,11.1,9.1,695.24,2024
56808,1900.55,114.3,0,DRV00127,821,15.2,2.9,1786.25,2024
56809,2623.27,228.76,75,DRV00039,1205,20.8,8.4,2319.51,2024
