,customer_id,route_id,load_date,load_type,weight_lbs,pieces,revenue,fuel_surcharge,accessorial_charges,booking_type,driver_id,truck_id,trailer_id,dispatch_date,actual_distance_miles,actual_duration_hours,fuel_gallons_used,average_mpg,idle_time_hours,total_revenue
0,CUST00183,RTE00019,2022-01-01,Dry Van,19178,13,3045.23,406.72,100,Spot,DRV00117,TRK00035,TRL00167,2022-01-01,1314,26.2,183.8,7.15,3.5,2538.51
1,CUST00076,RTE00058,2022-01-01,Dry Van,27761,22,1224.48,98.61,0,Dedicated,DRV00141,TRK00108,TRL00082,2022-01-01,515,8.6,93.6,5.5,8.3,1125.8700000000001
2,CUST00027,RTE00048,2022-01-01,Refrigerated,35594,16,7171.12,792.88,0,Spot,DRV00032,TRK00031,TRL00138,2022-01-01,2509,45.0,339.1,7.4,12.0,6378.24
3,CUST00088,RTE00013,2022-01-01,Refrigerated,33274,10,1308.2,141.33,50,Spot,DRV00083,TRK00105,TRL00018,2022-01-01,717,11.1,110.3,6.5,9.6,1116.8700000000001
4,CUST00185,RTE00020,2022-01-01,Dry Van,40257,10,3317.18,738.48,0,Spot,DRV00044,TRK00076,TRL00054,2022-01-01,2243,35.0,328.9,6.82,11.6,2578.7
5,CUST00193,RTE00004,2022-01-01,Refrigerated,34671,10,3582.78,383.23,75,Spot,DRV00120,TRK00062,TRL00007,2022-01-01,1977,39.4,358.8,5.51,6.6,3124.55
6,CUST00169,RTE00038,2022-01-01,Dry Van,14530,4,3872.46,314.64,150,Contract,DRV00055,TRK00002,TRL00093,2022-01-01,1350,20.9,230.8,5.85,2.3,3407.82
7,CUST00049,RTE00016,2022-01-01,Refrigerated,16927,26,5914.9,463.93,100,Spot,DRV00065,TRK00035,TRL00148,2022-01-01,2748,50.5,437.6,6.28,10.5,5350.969999999999
8,CUST00075,RTE00025,2022-01-01,Refrigerated,38964,3,4759.42,565.38,150,Dedicated,DRV00129,TRK00014,TRL00083,2022-01-01,3226,51.4,465.5,6.93,4.1,4044.04
9,CUST00079,RTE00025,2022-01-01,Refrigerated,29233,8,5723.39,565.38,50,Dedicated,DRV00029,TRK00116,TRL00126,2022-01-01,3388,60.2,460.3,7.36,5.7,5108.01
10,CUST00127,RTE00058,2022-01-01,Refrigerated,34882,20,1206.59,98.61,0,Contract,DRV00132,TRK00085,TRL00083,2022-01-01,538,9.9,72.2,7.45,4.9,1107.98
11,CUST00052,RTE00052,2022-01-01,Refrigerated,38553,17,1248.4,273.36,75,Spot,DRV00088,TRK00039,TRL00142,2022-01-01,861,14.3,150.3,5.73,6.7,900.0400000000001
12,CUST00168,RTE00002,2022-01-01,Dry Van,40675,1,1541.78,153.34,50,Dedicated,DRV00070,TRK00086,TRL00119,2022-01-01,689,12.4,112.0,6.15,3.6,1338.44
13,CUST00049,RTE00032,2022-01-01,Refrigerated,32114,12,4948.67,451.8,75,Dedicated,DRV00009,TRK00052,TRL00021,2022-01-01,2255,35.0,377.1,5.98,8.7,4421.87
14,CUST00089,RTE00006,2022-01-01,Dry Van,11712,24,1286.22,189.0,50,Dedicated,DRV00071,TRK00120,TRL00132,2022-01-01,684,11.4,92.9,7.36,4.4,1047.22
15,CUST00032,RTE00015,2022-01-01,Refrigerated,24063,5,224.7,13.8,0,Dedicated,DRV00036,TRK00054,TRL00048,2022-01-01,97,1.9,14.7,6.62,8.8,210.89999999999998
16,CUST00022,RTE00054,2022-01-01,Dry Van,34281,18,3521.84,295.83,75,Dedicated,DRV00094,TRK00049,TRL00171,2022-01-01,1571,25.5,209.7,7.49,2.3,3151.01
17,CUST00093,RTE00038,2022-01-01,Refrigerated,35885,9,3622.99,314.64,150,Dedicated,DRV00125,TRK00080,TRL00004,2022-01-01,1405,25.8,192.5,7.3,5.9,3158.35
18,CUST00092,RTE00012,2022-01-01,Refrigerated,19754,28,6009.91,453.91,0,Dedicated,DRV00142,TRK00040,TRL00095,2022-01-01,2554,44.7,387.6,6.59,3.7,5556.0
19,CUST00029,RTE00001,2022-01-01,Dry Van,27587,23,1070.73,128.63,150,Dedicated,DRV00118,TRK00010,TRL00062,2022-01-01,664,10.3,92.6,7.17,8.1,792.1
